Subject,Slope,Trial,Muscle,Mean_EMG,percent_stance
1,Upslope,4,PDIO1,21.81146896,40-60
1,Upslope,4,PDIO3,33.67952193,40-60
1,Upslope,4,FDB,23.82927325,40-60
1,Upslope,4,EDB,11.82473327,40-60
1,Upslope,4,ABDH,69.26570454,60-80
1,Upslope,4,ABDM,8.193636,60-80
1,Upslope,4,PDIO1,10.5309653,60-80
1,Upslope,4,PDIO3,6.100631125,60-80
1,Upslope,4,FDB,33.2317242,60-80
1,Upslope,4,EDB,9.453899964,60-80
1,Upslope,4,ABDH,35.9467785,80-100
1,Upslope,4,ABDM,3.485472904,80-100
1,Upslope,4,PDIO1,35.45607398,80-100
1,Upslope,4,PDIO3,10.49623089,80-100
1,Upslope,4,FDB,17.80470868,80-100
1,Upslope,4,EDB,16.38966661,80-100
1,Upslope,5,ABDH,73.01626806,0-20
1,Upslope,5,ABDM,5.18254594,0-20
1,Upslope,5,PDIO1,25.49233226,0-20
1,Upslope,5,PDIO3,10.78059109,0-20
1,Upslope,5,FDB,19.55400737,0-20
1,Upslope,5,EDB,7.800879248,0-20
1,Upslope,5,ABDH,29.1417318,20-40
1,Upslope,5,ABDM,19.08159628,20-40
1,Upslope,5,PDIO1,19.36380932,20-40
1,Upslope,5,PDIO3,30.34808613,20-40
1,Upslope,5,FDB,23.16694528,20-40
1,Upslope,5,EDB,11.50438352,20-40
1,Upslope,5,ABDH,34.42104132,40-60
1,Upslope,5,ABDM,19.0672625,40-60
1,Upslope,5,PDIO1,13.92811765,40-60
1,Upslope,5,PDIO3,25.65871205,40-60
1,Upslope,5,FDB,29.68022831,40-60
1,Upslope,5,EDB,11.53784237,40-60
1,Upslope,5,ABDH,44.85161071,60-80
1,Upslope,5,ABDM,41.31444748,60-80
1,Upslope,5,PDIO1,6.407334756,60-80
1,Upslope,5,PDIO3,11.6662285,60-80
1,Upslope,5,FDB,61.23546184,60-80
1,Upslope,5,EDB,16.49826566,60-80
1,Upslope,5,ABDH,31.81000241,80-100
1,Upslope,5,ABDM,9.58744297,80-100
1,Upslope,5,PDIO1,50.01859861,80-100
1,Upslope,5,PDIO3,11.59108186,80-100
1,Upslope,5,FDB,18.4166991,80-100
1,Upslope,5,EDB,9.498048289,80-100
1,Downslope,1,ABDH,16.37779532,0-20
1,Downslope,1,ABDM,16.57962022,0-20
1,Downslope,1,PDIO1,28.56877668,0-20
1,Downslope,1,PDIO3,15.58217421,0-20
1,Downslope,1,FDB,31.61095068,0-20
1,Downslope,1,EDB,11.26775191,0-20
1,Downslope,1,ABDH,21.59413372,20-40
1,Downslope,1,ABDM,64.83140415,20-40
1,Downslope,1,PDIO1,23.66811585,20-40
1,Downslope,1,PDIO3,67.26880547,20-40
1,Downslope,1,FDB,47.18771272,20-40
1,Downslope,1,EDB,52.15353636,20-40
1,Downslope,1,ABDH,13.63051172,40-60
1,Downslope,1,ABDM,40.92884208,40-60
1,Downslope,1,PDIO1,24.49284328,40-60
1,Downslope,1,PDIO3,47.60974881,40-60
1,Downslope,1,FDB,30.52025981,40-60
1,Downslope,1,EDB,35.85962387,40-60
1,Downslope,1,ABDH,13.63283945,60-80
1,Downslope,1,ABDM,32.46138372,60-80
1,Downslope,1,PDIO1,14.62722464,60-80
1,Downslope,1,PDIO3,30.09025683,60-80
1,Downslope,1,FDB,31.73982306,60-80
1,Downslope,1,EDB,45.61418734,60-80
1,Downslope,1,ABDH,16.44647036,80-100
1,Downslope,1,ABDM,3.430693179,80-100
1,Downslope,1,PDIO1,22.20621964,80-100
1,Downslope,1,PDIO3,9.91544617,80-100
1,Downslope,1,FDB,13.29494719,80-100
1,Downslope,1,EDB,6.39177366,80-100
1,Downslope,2,ABDH,10.1203179,0-20
1,Downslope,2,ABDM,31.26053596,0-20
1,Downslope,2,PDIO1,14.85994709,0-20
1,Downslope,2,PDIO3,27.18691218,0-20
1,Downslope,2,FDB,33.3290679,0-20
1,Downslope,2,EDB,31.76003977,0-20
1,Downslope,2,ABDH,10.09813813,20-40
1,Downslope,2,ABDM,22.00819002,20-40
1,Downslope,2,PDIO1,29.26522092,20-40
1,Downslope,2,PDIO3,47.18103909,20-40
1,Downslope,2,FDB,20.05032491,20-40
1,Downslope,2,EDB,14.17206852,20-40
1,Downslope,2,ABDH,12.21059805,40-60
1,Downslope,2,ABDM,38.43314017,40-60
1,Downslope,2,PDIO1,29.33090869,40-60
